sheet,course,cap
Spring 26 Highlevel and Academi,Bio 181,576.0
Spring 26 Highlevel and Academi,Bio 182,1080.0
Spring 26 Highlevel and Academi,Bio 100,350.0
Spring 26 Highlevel and Academi,ARS 101,109.0
Spring 26 Highlevel and Academi,SCM 432 - AP,90.0
Spring 26 Highlevel and Academi,CHM 113,929.0
Spring 26 Highlevel and Academi,CHM 114,625.0
Spring 26 Highlevel and Academi,CHM 101,300.0
Spring 26 Highlevel and Academi,CHM 116,1158.0
Spring 26 Highlevel and Academi,POLY Bio 181,72.0
Spring 26 Highlevel and Academi,POLY Bio 182,220.0
Spring 26 Highlevel and Academi,Poly Bio 100,78.0
Spring 26 Highlevel and Academi,SCM 432 - YY,45.0
